id,type,name,address,area,series,capacity
1,детский сад,Школа № 1503. Дошкольное отделение,"Москва, улица Константинова, 20, корп. 1",857,индивидуальный проект,
2,детский сад,"Школа № 1503, дошкольное отделение","Москва, улица Павла Корчагина, 12",1842,VI-49,
3,детский сад,Школа № 1503. Дошкольное отделение,"Москва, улица Космонавтов, 14, корп. 4",2167,2Мг-04-3,
4,детский сад,Солнышко АНО ДОО Мир Детства,"Москва, улица Кибальчича, 8, стр. 1",1244,VI-49,
5,детский сад,Школа № 1503. Дошкольное отделение,"Москва, улица Павла Корчагина, 1, стр. 1",2111,2Мг-04-3,
6,детский сад,"Школа № 293 имени А. Т. Твардовского, дошкольный корпус","Москва, улица Касаткина, 16",1413,II-29 (жилой дом),
7,школа,"Школа № 1503, корпус основной школы","Москва, улица Павла Корчагина, 13, стр. 1",5166,МЮ,
8,школа,"Школа № 1503, корпус старшей школы","Москва, улица Павла Корчагина, 18",4659,индивидуальный проект,
9,школа,"Школа № 1503, начальная школа","улица Павла Корчагина, 1А",4374,65-426/I,
10,школа,"Школа № 293 имени А. Т. Твардовского, школьный корпус","Москва, улица Космонавтов, 5",3883,МЮ,